Dirección,Precio USD,Terreno m2
Lavaisse 4400,68.000,56
La Rioja 3300,68.500,550
Candido Pujato 2800,69.000,528.29
Irigoyen Freyre 2600,Solicitar precio,226
Francia 2600,Solicitar precio,216
Santa Rosa 2900,69.000,156
Pedro Zenteno 2400,69.000,311
Eva Perón 2600,69.000,13.6
Martín Zapata 1000,69.000,92.88
Sarmiento 7400,69.000,450
Lavalle 6600,Solicitar precio,1000
Belgrano 4500,69.000,395
Brigadier Lopez 2000,69.000,233
Pavón 1000,69.000,190
Domingo Silva 1200,70.000,217
9 de Julio 2900,70.000,450
Laprida 3500,70.000,480
Alberdi 2200,70.000,161
Boulevard Las Palmeras 0,70.000,190
Los Domadores 0,70.000,734
Martín Zapata 2700,70.000,1002
Suipacha 2100,70.000,570
Dorrego 6100,70.000,195
Las Heras 4900,70.000,143
Calle los Alisos 5700,70.000,94.8
Rivadavia 2800,70.000,304
Calle Vidal 0,70.000,131.45
Obispo Gelabert 1800,70.000,137
Irigoyen Freyre 2200,72.000,143
Las Heras 6000,72.000,100
Llerena 2300,72.100,120
Ruperto Godoy 2000,73.000,325.25
Obispo Gelabert 1800,73.000,897
Monseñor Zazpe 2900,73.000,230
Pedro Zenteno 2100,73.000,213
Padre Genesio 1200,73.000,64
Juan de Garay 4000,73.000,677.4
Llerena 2300,73.200,381
San Jerónimo 3400,Solicitar precio,250
Boulevard los Pinos 0,74.000,800
Pasaje Barros 3300,74.000,177
Amenábar 3500,75.000,203
Chaco 2600,75.000,158
Pasaje Ramon Lassaga 4500,75.000,1240
General Ramirez 1000,75.000,156.55
Libertad 2100,75.000,82
Mariano Comas 2500,75.000,194
Gdor Crespo 2800,75.000,916
Pavón 2300,Solicitar precio,177
Calle Canillitas 4800,75.000,433
9 de Julio 5400,Solicitar precio,215
Ruperto Godoy 3200,75.000,905
Avenida López y Planes 4300,75.000,147.46
Boulevard los Carolinos 0,75.000,183
Castellanos 2200,75.000,200
Avenida Gobernador Freyre 2700,75.000,500
Urquiza 1100,75.000,126
Sarratea 4700,75.000,500
Santiago del Estero 2100,75.000,208
Pasaje 38.5 8800,75.000,200
Solís 2400,75.000,118
Salvador del Carril 1700,Solicitar precio,99
Avenida Facundo Zuviría 4600,88.010.000ARS,233
Pasaje Briggiler 2300,75.900,60
Pedro Díaz Colodrero 3200,89.001.819ARS,136
Avellaneda 5300,76.800,313
Belgrano 7200,77.000,170
Entre Bv 0,Solicitar precio,62
4 de Enero 2700,78.000,247
Rivadavia 7500,78.000,302
La Rioja 3300,Solicitar precio,118.83
Luciano Molinas 1800,78.000,177.9
Avenida General Paz 6200,78.000,312
Urquiza 3400,Solicitar precio,112
Juan M de Rosas Esquina Alberti 1200,79.000,185
4 de Enero 1300,79.000,99
Azcuénaga 1500,79.000,123
Pbro. Martínez 1000,79.000,233
4 de Enero 2700,79.000,146
Martin Zapata 1800,79.000,186.5
Alberdi 6300,79.000,140
Jujuy 3500,79.000,295
Belgrano 4700,79.000,860
Calle 90 0,80.000,540
Pasaje Koch 3500,80.000,150
Saavedra 1400,80.000,83
Castelli 1400,Solicitar precio,250
Dr. Zavalla 1400,80.000,200
9 de Julio 1900,80.000,539
Avenida Bartolomé Mitre 1000,80.000,184
Autopista Rosario 0,80.000,234
4 de Enero 2700,80.000,450
Callejón Aguirre 1900,80.000,600
Crespo 3200,81.000,680
Rivadavia 2700,82.000,178
Avenida los Talas 0,82.000,200.25
Rivadavia 1200,82.000,60
Moreno 2900,82.000,172.85
Macia 3200,82.000,214
Rivadavia 2700,82.000,450
Güemes 3800,Solicitar precio,402
Pedro Díaz Colodrero 3200,95.557.845ARS,272.28
República de Siria 3600,83.000,256
Guillermo Estevez Boero y Rector Martinez 1100,Solicitar precio,139
La Rioja 3300,Solicitar precio,123
Francia 1100,84.000,76.22
Uruguay 3100,85.000,102
9 de Julio 1900,85.000,125
Hipólito Irigoyen 2700,Solicitar precio,138
San Lorenzo 2400,85.000,600
Espora 800,85.000,320
Saavedra 2000,85.000,265
Saavedra 1800,85.000,296
Luciano Molinas 2300,85.000,1760
Lisandro de la Torre 3100,85.000,253
Macia 2000,87.000,398
Aristóbulo del Valle 2400,87.000,600
Azahar de Monte 0,87.000,121
Avellaneda 3200,87.500,1896
25 de Mayo 3200,88.000,296
Gaboto 2500,88.000,369
Maciel 1800,88.000,87
4 de Enero 3700,88.000,422
Las Heras 5200,88.000,227.34
Avenida 7 de Marzo 2300,89.000,294
Necochea 3800,89.000,135
3 de Febrero 3500,89.000,281
Marcial Candioti 7200,89.000,510.57
Francia 1100,89.000,285
Calle Camino Real Santa Rosa 0,90.000,2350
San Lorenzo 2400,90.000,131.2
Necochea 2800,90.000,775.34
Remedios de Escalada de San Martín 800,90.000,121
Gaboto 2300,90.000,107.68
25 de Mayo 1900,90.000,199
Urquiza 1300,90.000,361.67
Sarmiento 2700,90.000,1100
Piedras 7000,90.000,458
Riobamba 7200,90.000,152
Avenida Ángel V. Peñaloza 6700,90.000,2800
Gobernador Vera 3400,92.000,1225
Sarmiento 2700,Solicitar precio,590
Avenida Gobernador Freyre 3100,92.000,210.95
Juan de Garay 2400,Solicitar precio,95.1
Juan de Garay 2400,Solicitar precio,330
Sarmiento 2700,Solicitar precio,200
Sarmiento 2700,Solicitar precio,268
Frutos 1300,93.000,250
Los Cítricos y Las Torcazas 0 0,93.000,663
Autopista Rosario - Santa Fe 0,95.000,289.49
Rivadavia 2700,95.000,209
Uruguay 2700,95.000,313
Velez Sarsfield 3300,95.000,90
Pasaje Briggiler 1800,Solicitar precio,147
Lavalle 5300,95.000,1260
Francia 2400,95.000,185
Velez Sarsfield 3300,95.000,133
Urquiza 3400,Solicitar precio,162
San Martín 1900,98.000,269
Hernandarias 3300,98.000,186
Pasaje Paraguay 2800,98.000,305.07
3 de Febrero 3400,Solicitar precio,300
Monseñor Zazpe 2400,98.600,1803
Monseñor Zazpe 2400,98.700,617
Maipú 2300,99.000,289.49
Montevideo 1400,99.000,173
Gobernador Vera 3100,99.000,250
Guatemala y Panamá 0,99.000,141
Boulevard Gálvez 1200,99.000,267
Avenida General López 3700,100.000,176
9 de Julio 1200,100.000,675
Juan de Garay 2400,100.000,501
Francia 1200,100.000,232
San Martín 3600,100.000,220
Corondás y Callejón de los Canillitas 0,100.000,190
San José 5100,100.000,162
Gobernador Vera 3400,100.000,675
Boulevard Pellegrini 2900,100.000,284
Eva Peron 2400,107.000,435
Boulevard Pellegrini 2800,107.200,70.26
Boulevard Pellegrini 2800,107.500,575.18
9 de Julio 2400,108.000,163
9 de Julio 2400,108.000,268
Boulevard Pellegrini 2800,108.200,425
Boulevard Pellegrini 2800,108.500,229
Caracas 3000,Solicitar precio,214.83
San Jerónimo 1100,110.000,313
Mitre 3900,Solicitar precio,320
Mitre 2400,110.000,390
Tacuarí 7800,110.000,264
Avenida General Paz 6200,110.000,1519
Santiago Derqui 3800,110.000,793
Calle Las Estrellas 3000,110.000,106
4 de Enero 2700,110.000,159.6
Falucho 4100,110.000,147
Avenida Gobernador Freyre 3100,110.000,180
Calle Hipólito Irigoyen 2800,110.000,477
Tacuarí 7400,115.000,140
Pedro de Vega 2100,115.000,164
25 de Mayo 2600,115.000,337
25 de Mayo 1700,115.000,1000
25 de Mayo 2600,115.000,116
25 de Mayo 2600,115.000,130
Las Glicinas 4000,115.000,69
Calle 1º de Enero 0,115.000,2170
"Ruta 1 Km 9,5 0",119.000,500
San Martín 1900,119.000,300
San Jerónimo 3400,Solicitar precio,216
Calle Presidente Luis Sáenz Peña 1100,120.000,650
Los Nogales 2400,120.000,343
Calle Buenos Aires 1700,120.000,800
Amenábar 3700,120.000,247
Calle Guaranimá 6400,120.000,312
Hernandarias 2000,120.000,303.49
José Quintana 1700,Solicitar precio,658
Suipacha y 4 de Enero 3000,120.000,294.03
Belgrano 7700,120.000,233
Avenida General Paz 6200,120.000,630
Juan de Garay 2800,120.000,142
Avenida los Talas 2100,Solicitar precio,319
Alsina 2800,120.000,2400
La Rioja 2200,Solicitar precio,838
Eva Perón 2300,123.000,143
1° de Enero 0,124.000,400
Entre Rios 3200,125.000,1200
San Jeronimo 1700,125.000,160.72
Manzana 16 0,125.000,99
Centenario 2700,125.000,1000
Padre Mazzari 5200,125.000,232.53
Ricardo Aldao 3300,Solicitar precio,96
9 de Julio 2000,125.000,93
Catamarca 3100,125.000,176
Corrientes 3200,125.000,186.21
Callejon Tranquilo 2700,125.000,576
Calle 1º de Enero 0,125.000,208.43
Saavedra 2000,125.000,600
San Lorenzo 2700,125.700,788
San Lorenzo 2700,125.700,377
San Jerónimo 1700,126.000,394
Calle 1º de Enero 0,126.000,124
Boulevard Pellegrini 2800,127.000,300
Pasaje San de León 4900,128.000,6398
Amenábar 3200,128.000,409
Chacabuco 1200,130.000,145
Calle 1º de Enero 0,130.000,750
Las Torcacitas 2600,130.000,77
Pasaje Rivadavia 3100,130.000,313
Córdoba 3400,130.000,154
Riobamba 7500,130.000,345
Av. San Martin 1400,130.000,600
Calle Mocovi 6300,130.000,2002
Avenida Leandro N. Alem 3200,130.000,162
Güemes 3200,130.000,390
San Martín 1600,130.000,788.92
Matacos 5200,Solicitar precio,389
La Rioja 2400,130.000,250
Pasaje Oroño 2300,Solicitar precio,250
Francisco Miguens 100,Solicitar precio,165
Obispo Gelabert 3400,135.000,250
Irigoyen Freyre 2600,Solicitar precio,73.78
Francia 2500,135.000,900
Juan de Garay 2500,135.000,114
1º de Mayo 2400,135.000,121.84
Alvear 2600,135.000,264
Alvear 2600,135.000,216
Pablo Vi 800,135.000,176
25 de Mayo 3200,Solicitar precio,103
San Martín 3300,137.500,196
Calle 1º de Enero 2400,Solicitar precio,135
Avenida Lujan 2300,140.000,535
Mendoza 3100,140.000,232
Mendoza 3100,140.000,265.2
25 de Mayo 2600,140.000,200
