Nombre,Precio USD,Dirección,M2 Totales,Ambientes,Baños,Tipo,Precio por m2,Rango de precio,Rango de superficie,Densidad ambientes
BARRIO LOYOLA SUR .  3 CASAS  A REFACCIONAR .,15000,Calle José Pedroni 6600,200.0,4.0,3.0,Otro,75.0,Muy bajo,Grande,0.02
BARRIO LOYOLA SUR . CASA A REFACCIONAR,15000,Doctora Calle Grierson 8400,95.0,,,Casa,157.89473684210526,Muy bajo,Mediano,
Casa más Departamento. Oportunidad.,65000,Pavón 1900,198.0,4.0,2.0,Departamento,328.2828282828283,Bajo,Grande,0.020202020202020204
DPTO INTERNO AV. ARISTOBULO DEL VALLE 9245,32000,Avenida Aristóbulo del Valle 9200,84.0,2.0,1.0,Departamento,380.95238095238096,Muy bajo,Mediano,0.023809523809523808
DPTO interno 2 dorm zona centro oportunidad,58000,4 de Enero 2300,70.0,3.0,1.0,Departamento,828.5714285714286,Bajo,Mediano,0.04285714285714286
CASA EN VENTA 2 DORM. COCHERA BARRIO SUR,125000,Entre Rios 3200,152.0,4.0,2.0,Casa,822.3684210526316,Medio,Grande,0.02631578947368421
Casa en Venta en Recreo – Las Mercedes,63000,Carlos Acuña Ramos Mejía 1700,138.0,3.0,1.0,Casa,456.5217391304348,Bajo,Grande,0.021739130434782608
CASA en VENTA en ARROYO LEYES,60000,Arroyo Leyes. Calle Pública S/n 0,107.13,4.0,1.0,Casa,560.0672080649679,Bajo,Mediano,0.037337813870997855
Puerta Amarras II - 1 Dormitorio con Cochera,130000,Calle 1º de Enero 0,49.66,2.0,1.0,Cochera,2617.801047120419,Alto,Chico,0.04027386226339106
Depto premium 2dorm con excelente vista y cochera,230000,Alvear 2600,98.3,3.0,2.0,Departamento,2339.7761953204476,Alto,Mediano,0.030518819938962362
Se venden dos casas quintas en Arroyo Leyes,55000,Boulevard los Carolinos 3000,160.0,2.0,1.0,Otro,343.75,Bajo,Grande,0.0125
Se venden dos casas quintas en Arroyo Leyes,45000,Boulevard los Carolinos 3000,160.0,2.0,1.0,Otro,281.25,Muy bajo,Grande,0.0125
VENTA CASA DE 2 DORMITORIOS EN DON CARMELO,75000,Boulevard los Pinos 0,897.0,5.0,1.0,Casa,83.61204013377926,Bajo,Muy grande,0.005574136008918618
Venta Casa en Country Los Molinos,240000,"Country Club los Molinos, Calle 21- 0",600.0,7.0,3.0,Casa,400.0,Alto,Muy grande,0.011666666666666667
CASA  + MONOAMBIENTE,55000,Ignacio Risso 1000,210.0,3.0,2.0,Casa,261.9047619047619,Bajo,Muy grande,0.014285714285714285
DEPARTAMENTO 1 DORMOTORIO CON EXCELENTE VISTA,59000,1º de Mayo 1700,40.0,2.0,1.0,Departamento,1475.0,Bajo,Chico,0.05
Se vende casa dos dormitorios B. Sargento Cabral,79000,Martin Zapata 1800,112.0,4.0,1.0,Casa,705.3571428571429,Medio,Mediano,0.03571428571428571
Departamento de dos dormitorios y cochera en venta,98000,San Martín 1900,62.14,3.0,1.0,Departamento,1577.0840038622466,Medio,Mediano,0.0482780817508851
