Nombre,Precio USD,Dirección,M2 Totales,Ambientes,Baños
CASA A 100 MTS DEL RIO - SAUCE VIEJO,75.000,General Ramirez 1000,121,4,1
Se vende lote a 50 metros del rio en Colastine,28.000,Calle Las Encinas S/N,,,
Se vende lote en Country Los Molinos,Solicitar precio,Calle 3 S/N,,,
VENTA Terreno-Loteo Brisas del Luján-Maletti 3100,Solicitar precio,Maletti 3100,,,
Propiedad en VENTA 5 dorm y cochera en Rincon,170.000,Coronel Matías Diaz 2000,822,10,3
Venta Interno en macrocentro con patio,85.000,San Lorenzo 2400,91,3,1
VENTA  DE CASA LAGUNA PAVIA CON AMPLIO TERRENO,35.000,Corrientes 900,221,4,1
"QUINTA EN VENTA, 1 DORM, FRENTE A RIO UBAJAY",70.000,"Ruta 1 , Km 10.5  Calle 2 0",72,2,1
"TERRENO EN VENTA, PORTAL DEL LEYES",22.000,"Portal del Leyes, Lote 3, Mza L S/N",,,
SE VENDE PROPIEDAD EN CANDIOTI NORTE,95.000,Juan del Campillo 1200,211,4,1
Hermosa casa en jardines de la costa,100.000,Los Citricos y los Naranjos 0,271,12,3
Terreno en country San Tomas 1000 m2,95.000,San Tomas Pueblo Verde Barrio Cielo 0,,,
VENTA DPTO 1 DORM- EXCELENTE PRECIO,48.000,Saavedra 2400,44,2,1
Dpto 2 Dormitorios | TORRE CAPITAL |,187.500,Avenida General López 2800,91,4,2
VENTA DE TERRENO EN SANTA FE (190 m2),25.000,Pasaje Guanella S/n 3000,,,
DEPARTAMENTO EN VENTA ZONA CENTRO,Solicitar precio,La Rioja 2400,50,2,1
OPORTUNIDAD CASA A REFACCIONAR O DEMOLER,80.000,Fray Mamerto Esquiu 2800,165,4,2
CASA MODERNA 1 DORM+JARDIN EN SAUCE VIEJO,56.000,Canadá 1000,70,3,1
COCHERA EN VENTA,15.000,Corrientes 3200,12.5,,
COCHERA DESCUBIERTA EN PLANTA BAJA ZONA CENTRO,20.000,Monseñor Zazpe 2400,12.5,,
DEPTO DE 1 DORMITORIO Y TERRAZA EXCLUSIVA,98.600,Monseñor Zazpe 2400,83.5,2,1
Ideal pescadores- Casa a la Venta Desvío Arijón-,39.000,Ruta Nacional 11 1100,62,3,1
"VENTA QUINTA SAUCE VIEJO CALLE ""EL MATE""",75.000,El Mate 1200,83.25,2,1
VENTA COCHERA CUBIERTA EN PLANTA BAJA,23.000,Monseñor Zazpe 2400,12.5,,
VENTA DPTO 1 DORMITORIO CON BALCÓN AL SUR,86.700,Monseñor Zazpe 2400,55.5,2,1
VENTA casa de 4 dormitorios + patio + cochera,79.000,Azcuénaga 1500,133.4,5,2
Casa en Venta en Candioti Norte,145.000,Córdoba 1400,142,4,2
TERRENO CON QUINTA A TERMINAR EN LAS PALTAS,145.000,Calle Las Diamelas 5100,167,7,2
Departamento 2 dormitorios a 20 metros de gral paz,55.000,Estanislao Zeballos 900,82,4,1
CAMPO -  18 HAS SOBRE RUTA 2  -  ARROYO AGUIAR,270.000,Ruta 2 S/N,18,,
VENTA LOTE EN LOS MOLINOS 600m2,38.000,Calle S/n S/N,,,
Dpto de dos dormitorios amplio. Frente Terminal.,70.000,Suipacha 2100,75,3,1
CASA DE CALIDAD en Venta- Barrio Don Bosco,Solicitar precio,Ricardo Aldao 3300,128,3,1
Remax vende increíble quinta en Colastiné Norte,175.000,Los Algarrobos 6600,282.88,4,4
"Casa de 3 dormitorios, quincho y cochera.",95.000,Gobernador Freyre 5300,171.5,5,2
SE VENDE CASA A METROS DE LA COSTANERA SANTAFESINA,130.000,Salvador del Carril 900,300,4,1
LA ESMERALDA BARRIO PRIVADO LOTE DE 700 M2,56.392,"Autopista Rosario - Santa Fe ""la Esmeralda"" Barrio Privado 0",,,
Se vende dpto oportunidad en planta alta zona bv.,59.500,Candido Pujato 3200,43,3,1
Se vende departamento interno 1 dormitorio,Solicitar precio,Velez Sarsfield 6400,57,2,1
VENTA DE DESARROLLO 4 DEPTOS IDEAL P/INVERSIÓN,170.000,1º de Mayo 6700,190,2,4
Casa estilo country en B° 7 jefes en venta,Solicitar precio,Pasaje Fraga 900,180,6,4
Casa en Venta  en Barrio Progreso de Pompeya.,58.000,Presbitero Luis V.dusso 7800,210,5,2
Casa Quinta en Venta–San José del Rincón – Ruta 1,85.000,Domingo Silva San Jose del Rincon 1500,199,5,2
Casa en Venta en Pje. Koch,55.000,Pasaje Koch 1200,77,4,1
TERRENO EN ARROYO LEYES,16.200,Calle los Flamencos Arroyo Leyes S/N,,,
