Dirección,Precio USD,Terreno m2
12 de Septiembre 3800,30.000,400
Domingo Silva 4000,30.000,1590
Calle 0,30.000,1182
Florencio Fernández 6100,30.000,200
La Plata 100,30.000,200
Radio Constructivo Pilay 0,30.000,150
62 0,30.000,1145
Los Algarrobos 0,30.000,250
Calle Reduello Pancha 1700,32.000,400
Pje Luciano Leiva 7500,32.000,200
Pje.s/n 3900,32.000,198
Pje Koch 1100,32.000,121
Maletti 3100,32.000,250
Los Chañares 300,32.000,203
Pasaje Denis 7100,32.000,149.67
La Rioja 3800,32.000,195
Juan Diaz de Solis 3400,Solicitar precio,190
Avenida Aristóbulo del Valle 9200,32.000,169
José María Zuviría 3900,32.000,475
Los Domingos S/N,32.500,475
Los Domingos S/N,32.500,800.8
Calle los Urunday S/N,33.000,204
La Rioja 1100,33.000,1581
Los Aromitos S/N,33.000,298.8
Maletti 3100,33.000,309
Avenida Primera Junta 4300,33.000,204
La Rioja 1100,33.000,1579
Los Aromitos S/N,33.000,240
Juan de Garay/e Ocampo Ubajay S/N,33.000,208
Sarmiento 3400,33.500,929
El Amanecer Terreno N5 Manzana B 0,33.500,269.37
Misiones 5800,34.000,269.37
S/nombre 0,34.000,264
José Quintana 2800,34.000,227.82
Urquiza 2800,Solicitar precio,870
Alberdi 1400,Solicitar precio,353
Calle Las Diamelas S/N,34.000,353
Entre Ríos 4700,34.000,1086
Azcuénaga 2000,35.000,600
Diagonal 8 S/n S/N,35.000,219.5
Los Molinos Country Club S/N,35.000,912
Gobernador Crespo 3200,35.000,765
Avenida Presidente Perón 3800,35.000,300
Roverano 2800,35.000,1775
Monseñor Zaspe 3200,35.000,302
Ybirapitá y Bonsembiante 1900,35.000,333
Calle Mirlos S/n S/N,35.000,400
"Ruta Nacional 11 Km 445 400, Sauce Viejo, Santa Fe Capital, Santa Fe 400",35.000,432
Pasaje 16 3200,35.000,336
Diagonal 8 S/n S/N,35.000,1086
La Rioja 4200,35.000,152
Entre Boulevares 0,35.000,1495
Crepúsculo y Calle del Sol S/N,35.000,460
Calle los Paraísos 2700,35.000,300
Brasilia 2800,Solicitar precio,1000
Los Cardenales 6800,35.000,600
Corrientes 900,35.000,600
Juan Díaz de Solís 3000,35.000,402
Los Molinos Country Club S/N,35.000,164
Calle E 0,35.000,353
J J Paso 3800,35.000,219.5
Azcuénaga 2000,35.000,126
Avenida Presidente Perón 3800,35.000,884.12
Juan de Garay 2500,35.000,52.01
Roverano 2800,35.000,118
Mendez 5600,35.000,300
Calle Palma Real 2500,36.000,300
Maletti 3100,36.000,352.97
Dentro de los Boulevares 0,36.000,895
Gaboto 1600,36.000,700
Calle los Eucaliptus 4500,Solicitar precio,298
Los Ceibos y los Pinos S/N,36.500,1000
Maletti 3100,36.500,260
Río de Oro 2800,37.000,351
Maletti S/N,37.000,342
Juan José Paso 1100,37.000,600
Juan Larrea 1900,37.000,510
"Manzana 6, Lote 31 y 32 Country los Molinos S/N",37.000,600
Dr Luis Agote 0,37.000,260
"Lote 3 y 4, Manzana 35 S/N",37.000,260
Laprade 3100,Solicitar precio,600
Maletti 3100,37.500,313
Calle 3 S/N,Solicitar precio,260
Calle 16 3600,37.500,260
Laprade 3100,37.500,83
Maletti 3100,Solicitar precio,185
Pedro Díaz Colodrero 2100,Solicitar precio,144
Villegas 3100,Solicitar precio,185
Gorostiaga 1600,38.000,37.3
Juan Díaz de Solís 2500,38.000,65
Marcial Candioti 5900,38.000,63
Entre Rios 2200,38.000,809
Calle 27 2900,38.000,265
Calle S/n S/N,38.000,600
Juan Díaz de Solís 5500,38.000,147
Gaboto 1600,38.000,83
Pedro Díaz Colodrero 2100,Solicitar precio,233
Entre Ríos 2300,Solicitar precio,306
Cafferata 8400,38.000,29
Pasaje Alfonso 3000,38.000,600
Calle los Curupies Esq Las Torcazas 0,38.000,688
Calle Desconocida  0,38.000,222
Los Pinos 500,38.000,597
Ruta Nacional 19 S/N,38.500,260
Maletti 3100,Solicitar precio,1120
Margaritas 4000,39.000,187
San Lorenzo 5600,39.000,98
Grandoli 9500,39.000,176
Santa Fe 0,39.000,220.42
Laprida 200,39.000,948
3 de Febrero 1600,39.000,263
Ruta Nacional 11 1100,39.000,293
Javier de la Rosa 1300,39.000,7016
Ruta Prov. N° 1 y Callejon Ochoteco S/N,39.000,500
San Lorenzo 7400,39.000,244
La Rioja 3300,39.000,206
Pasaje Barros 3300,39.000,173
Calle Malaver 3900,39.500,148
Alberti 4200,Solicitar precio,765
Avenida Galicia 1600,39.500,200
Km 21 0,39.500,353
Luciano Leiva 8500,39.500,882
Calle los Guayacanes 0,39.500,127
San José 1900,39.500,254
Los Grillos 2200,39.800,1000
Salta 2500,39.900,135
Velez Sarsfield 6400,Solicitar precio,881.33
Los Tordos 0,40.000,200
Necochea 5900,40.000,209
Calle Andresito 9200,40.000,110
Pasaje Briggiler 1800,40.000,304.25
Doctor Zavalla 1000,40.000,895
Entre Rios 3600,40.000,480
Republica de Chile S/n 4100,40.000,451
Avenida Richieri 3800,40.000,1361
Juan Pablo Primero 1600,40.000,937
Juan Diaz de Solis 3000,40.000,108
Calle Las Cina Cinas 0,40.000,200
Arroyo Leyes 100,40.000,240
Arenales 1000,Solicitar precio,157.86
Córdoba 1500,40.000,135
Pasaje Río Negro 3100,40.000,31528
Presbitero Luis V.dusso 6600,40.000,82
Juan Díaz de Solís 2400,40.000,522.5
Padre Catena 4000,40.000,300
Alsina 3900,40.000,522.5
Republica de Chile S/n 4100,40.000,304.25
Pedro Espinosa S/N,40.000,300
Pasaje Río Negro 3100,40.000,200
Los Tordos 0,40.000,881.33
"9 de Julio, Recreo S/N",40.000,31528
Belgrano 4600,40.000,268
Alberdi 7500,40.200,168
Santiago de Chile 1400,40.500,243
Las Acacias 10500,41.000,450
"Rincon Potrero, Ruta 1, Calle 123 100",41.000,236
Ruperto Godoy 2400,41.000,858
Calle los Eucaliptus 4500,41.500,432
Almaraz 4800,41.500,145
Martín Zapata 2000,41.500,433
D. French 3200,Solicitar precio,1000
Río de Oro 2800,42.000,190
Alberdi 5500,42.000,184
Alberti 3700,42.000,27150
Calle Desconocida  S/N,42.000,305
Vera Mujica 400,42.000,53487400
98 S/N,42.000,97
Juan de Garay 3900,42.000,273
Río de Oro 2800,42.000,1000
Calle Desconocida  S/N,42.000,27150
Arenales 2300,Solicitar precio,273
Derqui 2200,42.000,144.48
Glisinas 0,42.000,335
Calle Desconocida  S/N,Solicitar precio,6750
Pasaje Paraná 3800,42.000,205
Calle 18 S/N,43.000,810
Gorostiaga 3000,43.000,154.2
San Lorenzo 1000,43.000,145
Roque Sáenz Peña 1800,43.000,78.1
Vera Mujica 700,43.000,170
Santiago de Chile 2400,43.000,120
Celia Ortiz de Montoya - Manzana 14 0,43.000,120
Castelli 4400,43.000,125
D. French 4900,43.000,200
Matheu 1000,43.000,136
Calle Pública 100,Solicitar precio,341
Corrientes 1500,44.000,231
San Martín 1800,44.500,217
Monseñor Zazpe 3300,45.000,103
Avenida Gobernador Freyre 1000,45.000,165
Pasaje L. M. Drago 3600,45.000,116
Maipú 1600,45.000,200
Centenario 2500,45.000,1050
Florencio Fernández 5500,45.000,231
Calle los Urunday 6100,Solicitar precio,134
Zavalla 1900,45.000,111
Alberti 3500,45.000,266
9 de Julio 6800,45.000,214
Obispo Gelabert 1800,45.000,46
Pavón 2600,45.000,357
Alberti 1300,45.000,100
Juan Díaz de Solís 4600,45.000,1128
Hernandarias 900,45.000,387
Calle 16 0,Solicitar precio,196
Sarmiento 8900,45.000,270
Azopardo 8400,45.000,1000
Calle los Naranjillos S/N,45.000,1673
Pasaje Marsengo 5500,45.000,99.18
Entre Boulevares. 0,45.000,214
Juan Díaz de Solís 4600,45.000,134
Alberti 3500,45.000,118
Gobernador Freyre 6400,45.000,344
Gobernador Vera 4100,45.000,231
Zavalla 1900,45.000,200
Chiclana 8700,45.000,341
Santa Rosa de Lima 0,45.000,1913
Los Poetas 2000,45.000,387
9 de Julio 6800,45.000,238
Saavedra 8200,45.000,230
Monseñor Zazpe 3300,45.000,167
Vélez Sarsfield 3600,45.000,100
Espora 3100,45.000,1000
Los Nogales 2600,45.000,1128
Sarmiento 8900,45.000,292
Teófilo Madrejón - Ruta Prov. 1 0,45.000,80
Avenida Freyre 1700,45.000,400
Alfonsina Storni 1500,45.000,387
Belgrano 4700,45.000,116
Saavedra 8200,45.000,103
Centenario 2500,45.000,336
Avenida Gobernador Freyre 1000,45.000,600
Calle Desconocida  0,45.000,97
Calle 14 3600,45.500,350
Calle Desconocida  S/N,46.000,400
Gaboto 1400,46.000,250
Juan de Garay 3900,46.000,187
Entre Bv 0,46.000,115
Calle Ceibos 1300,46.000,214
La Plata 3500,46.000,272
Avenida French 2600,46.350,1000
Calle 121 S/N,47.500,1350
Dr. Zavalla 3200,48.000,238
Ecuador 3700,48.000,762
Doctor Tagliari S/N,Solicitar precio,181
Pavón 1200,48.000,120
Saavedra 6200,48.000,700
Hipolito Irigoyen 2600,48.000,900
103 S/n 0,48.000,674
Boulevard los Carolinos 3000,48.000,216
Alfonsina Storni 2900,48.000,268
Pasaje Publico 7200,48.000,107
Obispo Boneo 3800,48.000,380
Rivadavia 2500,48.000,100
25 de Mayo 1200,48.000,600
Pelegrini 3000,48.000,143
Garabatos S/n Lote 49 Manzana 0249 0,48.000,200
San José 900,48.000,200
Obispo Gelabert 1800,48.000,314
135 0,49.000,450
Av. de Las Banderas 1300,49.000,1451
Pasaje Arzamendia 5900,49.000,4538
Crepusculo y Arcoiris S/N,49.000,1664
Calle Las Moras 200,49.000,314
Catamarca 3300,49.000,46.97
1º de Mayo 6800,Solicitar precio,217
Artigas 3600,49.000,61
Eva Peron 2200,49.000,202.73
Gaboto 2400,49.500,277
Entre Ríos 3100,49.500,281
Gaboto 2000,49.500,1000
Gaboto 2400,49.500,432
Austria Entre Alemania y Malvinas S/N,49.500,131
4 de Enero 2200,49.900,1384
Bolivia 3600,49.900,145
Mitre 5700,50.000,145
Falucho 3800,50.000,1000
Pedro Zenteno 2300,50.000,1303
Calle Desconocida  S/N,50.000,792
Presidente Julio Argentino Roca S/N,Solicitar precio,131
J. de Dios Mena 1600,50.000,281
Calle Irupe 4200,50.000,1000
Manzana 13 Vivienda 21  el Pozo 0,50.000,160
Pje. Calcuta 700,50.000,201
Calle Desconocida  S/N,50.000,272
Espora 1800,50.000,384.75
Centenera 4000,50.000,161
Ayacucho S/N,50.000,189
Moreno 3400,Solicitar precio,500
Santiago de Chile 5700,50.000,207
Domingo Silva 3300,50.000,339
Irigoyen Freire S/n 1100,51.000,296
Pasaje Arzamendia 5900,51.000,294.18
Mitre 5700,51.000,300
Juan del Campillo 3000,51.000,200
Pasaje Arzamendia 5900,52.000,150
Lavalle 7100,52.000,112
República de Siria 3700,52.000,600
1 de Mayo 4500,52.000,1400
Estanislao López 1300,Solicitar precio,208
Avenida Juan José Paso 2900,52.000,106
Florencio Fernandez 5500,Solicitar precio,53.64
Ángel Cassanello 3500,52.000,555
Javier de la Rosa 2200,53.000,195
San Martín 1600,53.000,494
Calle Irupe 2200,Solicitar precio,555
Entre Boulevares 2000,53.000,576
Obispo Boneo 2600,53.000,433
Los Flamencos Entre Calle 42 y Avenida de Lluvia 0,53.000,433
Martín Zapata 1700,53.000,300
Belgrano 100,Solicitar precio,309
Pasaje Bustamante 2200,Solicitar precio,131
Castelli 1400,53.500,1630
Pavón 4000,53.500,200
Juan de Garay 5100,55.000,562
San Martín 3700,55.000,270
Macia 2700,Solicitar precio,238
Uruguay 2900,55.000,393
República de Siria 6000,55.000,180
Luciano Molinas 1400,Solicitar precio,444.19
Estrada 5600,55.000,162
Gral Paz 6500,55.000,750
Luciano Molinas 1400,55.000,700
San Juan S/n 1100,55.000,675
Alberti 2700,55.000,965
Lavaisse 3100,55.000,131
Los Pomelos 0,55.000,200
San Juan 1500,55.000,1000
Boulevard los Carolinos 3000,55.000,1650
Rosaura Schweizer 1500,55.000,311
Calle Presidente Figueroa Alcorta 1300,55.000,186
Estrada 5600,55.000,889
Córdoba 1200,Solicitar precio,965
Francia 5300,55.000,339
Luciano Molinas 1400,55.000,153
"Barrio 6, Manzana 10, Lote 1 S/N",55.000,168
Alvear 4800,55.000,272
Ruta 1 S/N,55.000,675
Misiones 2200,Solicitar precio,200
Hernandarias 3700,55.000,450
Mariano Comas 2900,Solicitar precio,243
Moreno 3200,55.000,965
Saavedra 2200,55.000,150
Ruta 1 S/N,55.000,450
Ignacio Risso 1000,55.000,228
Calle 80 S/n 0,Solicitar precio,168
Obispo Gelabert 3500,55.000,3063
La Paz 3600,55.000,261
Pasaje Arzamendia 5900,56.000,672
Calle 40 0,56.000,176
Canadá 1000,56.000,700
Manuel Leiva 4800,56.000,600
Beruti 4900,56.000,350
Iturraspe 2000,56.000,260
Juan José Paso 2900,56.000,353
Diagonal Hipólito Irigoyen 900,56.000,186
"Autopista Rosario - Santa Fe ""la Esmeralda"" Barrio Privado 0",56.392,204
Mitre 6700,57.400,335
San Juan 1200,57.500,568
Calle Finlandia 1100,57.500,254
Lisandro de la Torre 1500,57.900,99
Belgrano 6500,58.000,148
Juan de Garay 4000,58.000,175
Obispo Boneo Santa Fe 1500,Solicitar precio,185
7 de Marzo 1900,58.000,460
Macia 3300,58.000,525
Castelli 2300,58.000,328
Mitre 5700,58.000,190
Ocampo 2200,Solicitar precio,210.18
4 de Enero 2300,58.000,809
Pasaje Arzamendia 5900,58.000,230
Rn11 5100,58.000,108
Castelli 3500,58.000,900
Presbitero Luis V.dusso 7800,58.000,110.9
Entre Rios 2200,58.000,313
Rivadavia 7700,58.000,700
Calle los Urunday 5900,59.000,828
Buenos Aires 1800,59.000,174.97
Rivadavia 2600,59.000,19140
"San Jose del Rincon Km 6,5 200",59.000,600
Las Palmeras 0,59.000,206
López y Planes 3200,59.000,288
1º de Mayo 1700,59.000,50
Mitre 5700,59.000,234
Independencia 3000,59.000,202
San Jerónimo 2700,59.000,432
1 de Mayo 1600,59.000,193
Mitre 6700,59.400,305
Candido Pujato 3200,59.500,711
Calle 17 S/N,60.000,1566
Ruta 82-s S/N,60.000,200000000
Pje. Paraná 3800,60.000,205.2
Calle 38 S/n 0,60.000,563
Pedro Zenteno 3200,60.000,178
Mitre 5700,60.000,214
Alfonso Duran 4800,Solicitar precio,283
Calle Picaflor 0,60.000,505
Padilla 3300,60.000,129
Calle los Limoneros S/N,Solicitar precio,5250
"Calle 3, Entre 4 y 6 0",60.000,500
Pedro de Vega 1900,Solicitar precio,156
Mariano Comas 2900,Solicitar precio,1201
Autopista Rosario - Santa Fe S/N,Solicitar precio,409.16
Arroyo Leyes. Calle Pública S/n 0,60.000,600
Lavalle 3200,Solicitar precio,1910
"Country los Molinos Lote N°12 Manzana ""21"" 0",Solicitar precio,1140
San Martín 3700,60.000,256
3 de Febrero S/N,60.000,191
Calle Palo Borracho 3200,60.000,750
Avenida 7 de Marzo 2200,60.000,457.5
Pedro Ferré 2900,60.000,276.12
Calle Desconocida  0,60.000,63.85
Arenales 2400,60.000,1000
San José 2600,60.000,855
Calle 15 0,60.000,37
Mariano Comas 2900,Solicitar precio,1000
Calle 42 0,60.000,200
